img_name,img_path,Healthy,Unhealthy,split_type
01wbfrvx.qqq.jpg,CDS/Healthy/01wbfrvx.qqq.jpg,1,0,train
020tolin.yfv.jpg,CDS/Healthy/020tolin.yfv.jpg,1,0,train
03hpuh24.o3c.jpg,CDS/Healthy/03hpuh24.o3c.jpg,1,0,train
0c0ryf23.oxu.jpg,CDS/Healthy/0c0ryf23.oxu.jpg,1,0,train
0cayiqim.qj1.jpg,CDS/Healthy/0cayiqim.qj1.jpg,1,0,train
0ffsqyv0.qsu.jpg,CDS/Healthy/0ffsqyv0.qsu.jpg,1,0,train
0g5jmhfe.cxy.jpg,CDS/Healthy/0g5jmhfe.cxy.jpg,1,0,train
0h4bi1rw.ofc.jpg,CDS/Healthy/0h4bi1rw.ofc.jpg,1,0,train
0k3hsttu.zmu.jpg,CDS/Healthy/0k3hsttu.zmu.jpg,1,0,train
0ljihjdw.qmr.jpg,CDS/Healthy/0ljihjdw.qmr.jpg,1,0,train
0lq55h5l.xbp.jpg,CDS/Healthy/0lq55h5l.xbp.jpg,1,0,train
0n2g3s3x.ccp.jpg,CDS/Healthy/0n2g3s3x.ccp.jpg,1,0,train
0nlur0yf.5uj.jpg,CDS/Healthy/0nlur0yf.5uj.jpg,1,0,train
0olum1wy.pdc.jpg,CDS/Healthy/0olum1wy.pdc.jpg,1,0,test
0q4cjrfo.5fs.jpg,CDS/Healthy/0q4cjrfo.5fs.jpg,1,0,train
0s4jxkis.gkg.jpg,CDS/Healthy/0s4jxkis.gkg.jpg,1,0,train
0s5xfuun.pxz.jpg,CDS/Healthy/0s5xfuun.pxz.jpg,1,0,train
0u1s15bm.ygk.jpg,CDS/Healthy/0u1s15bm.ygk.jpg,1,0,train
0ucgzrwm.lns.jpg,CDS/Healthy/0ucgzrwm.lns.jpg,1,0,train
0wppjlos.owi.jpg,CDS/Healthy/0wppjlos.owi.jpg,1,0,train
0x45wpui.yw4.jpg,CDS/Healthy/0x45wpui.yw4.jpg,1,0,train
0x4hil3e.x4g.jpg,CDS/Healthy/0x4hil3e.x4g.jpg,1,0,train
0xc2xwbq.dxy.jpg,CDS/Healthy/0xc2xwbq.dxy.jpg,1,0,train
0xd2zcxu.5ae.jpg,CDS/Healthy/0xd2zcxu.5ae.jpg,1,0,train
0xkr5wwh.glq.jpg,CDS/Healthy/0xkr5wwh.glq.jpg,1,0,train
0yfi0oaj.w5i.jpg,CDS/Healthy/0yfi0oaj.w5i.jpg,1,0,test
0zoivt4u.jqg.jpg,CDS/Healthy/0zoivt4u.jqg.jpg,1,0,test
10rhspk2.l0s.jpg,CDS/Healthy/10rhspk2.l0s.jpg,1,0,train
13dovhkg.mxn.jpg,CDS/Healthy/13dovhkg.mxn.jpg,1,0,train
15mawwmi.wvs.jpg,CDS/Healthy/15mawwmi.wvs.jpg,1,0,val
1c2rupix.wot.jpg,CDS/Healthy/1c2rupix.wot.jpg,1,0,val
1cb33rke.1fn.jpg,CDS/Healthy/1cb33rke.1fn.jpg,1,0,train
1e1llei0.ce3.jpg,CDS/Healthy/1e1llei0.ce3.jpg,1,0,train
1gvda1yc.xqe.jpg,CDS/Healthy/1gvda1yc.xqe.jpg,1,0,train
1hvqulmu.2u1.jpg,CDS/Healthy/1hvqulmu.2u1.jpg,1,0,train
1i1n0xvp.kvz.jpg,CDS/Healthy/1i1n0xvp.kvz.jpg,1,0,train
1iskz5bv.m2f.jpg,CDS/Healthy/1iskz5bv.m2f.jpg,1,0,train
1jc0rur0.zzk.jpg,CDS/Healthy/1jc0rur0.zzk.jpg,1,0,test
1jgzsqdn.5eh.jpg,CDS/Healthy/1jgzsqdn.5eh.jpg,1,0,train
1kdarsy2.fef.jpg,CDS/Healthy/1kdarsy2.fef.jpg,1,0,train
1ly04a0t.mas.jpg,CDS/Healthy/1ly04a0t.mas.jpg,1,0,test
1rdzuigg.cqv.jpg,CDS/Healthy/1rdzuigg.cqv.jpg,1,0,train
1uik3we4.vuo.jpg,CDS/Healthy/1uik3we4.vuo.jpg,1,0,train
